QUANTITYORDERED,PRICEEACH,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,STATE,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
39,100,7023.9,05/04/2004,Shipped,2,4,2004,Motorcycles,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,NY,10022,USA,Frick,Michael,Large
43,100,7078.23,18/05/2004,Shipped,2,5,2004,Motorcycles,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,NJ,94019,USA,Brown,William,Large
41,100,8336.94,28/06/2004,Shipped,2,6,2004,Motorcycles,S10_4698,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,King,Julie,Large
36,100,6901.92,23/07/2004,Shipped,3,7,2004,Motorcycles,S10_4698,La Rochelle Gifts,40678555,"67, rue des Cinquante Otages",Nantes,Nantes,44000,France,Labrune,Janine,Medium
27,100,5438.07,27/08/2004,Shipped,3,8,2004,Motorcycles,S10_4698,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,Hernandez,Marta,Medium
29,100,6683.34,30/09/2004,Shipped,3,9,2004,Motorcycles,S10_4698,"Toys of Finland, Co.",902248555,Keskuskatu 45,Helsinki,Helsinki,21240,Finland,Karttunen,Matti,Medium
20,100,4570.4,15/10/2004,Shipped,4,10,2004,Motorcycles,S10_4698,Mini Classics,9145554562,3758 North Pendale Street,White Plains,NY,24067,USA,Frick,Steve,Medium
37,100,7667.14,02/11/2004,Shipped,4,11,2004,Motorcycles,S10_4698,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,PA,70267,USA,Yu,Kyung,Large
26,100,5868.2,15/11/2004,Shipped,4,11,2004,Motorcycles,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,Yu,Kwai,Medium
39,76.67,2990.13,23/11/2004,Shipped,4,11,2004,Motorcycles,S10_4698,"Tokyo Collectables, Ltd",81335840555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Shimamura,Akiko,Small
22,100,3664.1,05/01/2005,Shipped,1,1,2005,Motorcycles,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,Hirano,Juri,Medium
22,100,3834.38,02/02/2005,Shipped,1,2,2005,Motorcycles,S10_4698,"Australian Gift Network, Co",61738446555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,Calaghan,Tony,Medium
21,86.77,1822.17,03/03/2005,Shipped,1,3,2005,Motorcycles,S10_4698,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,MA,50553,USA,Benitez,Violeta,Small
66,100,11886.6,08/04/2005,Shipped,2,4,2005,Motorcycles,S10_4698,"UK Collectables, Ltd.",+(1715552282,Berkeley Gardens 12  Brewery,Liverpool,Liverpool,WX1 6LT,UK,Devon,Elizabeth,Large
56,100,9218.16,13/05/2005,Disputed,2,5,2005,Motorcycles,S10_4698,Euro Shopping Channel,+(915559444,"C/ Moralzarzal, 86",Madrid,Madrid,28034,Spain,Freyre,Diego,Large
50,100,7208,11/02/2003,Shipped,1,2,2003,Classic Cars,S10_4757,Danish Wholesale Imports,31123555,Vinb'ltet 34,Kobenhavn,Kobenhavn,1734,Denmark,Petersen,Jytte,Large
46,100,5004.8,28/04/2003,Shipped,2,4,2003,Classic Cars,S10_4757,Salzburg Collectables,65629555,Geislweg 14,Salzburg,Salzburg,5020,Austria,Pipps,Georg,Medium
33,100,4398.24,12/06/2003,Shipped,2,6,2003,Classic Cars,S10_4757,"Stylish Desk Decors, Co.",+(1715550297,35 King George,London,London,WX3 6FW,UK,Brown,Ann,Medium
49,100,5597.76,10/08/2003,Shipped,3,8,2003,Classic Cars,S10_4757,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,New Bedford,MA,50553,USA,Tam,Wing C,Medium
32,100,4526.08,06/10/2003,Shipped,4,10,2003,Classic Cars,S10_4757,"Toys of Finland, Co.",902248555,Keskuskatu 45,Helsinki,Helsinki,21240,Finland,Karttunen,Matti,Medium
44,100,5924.16,23/10/2003,Cancelled,4,10,2003,Classic Cars,S10_4757,Scandinavian Gift Ideas,695346555,?kergatan 24,Boras,Boras,S-844 67,Sweden,Larsson,Maria,Medium
24,100,3492.48,08/11/2003,Shipped,4,11,2003,Classic Cars,S10_4757,Alpha Cognac,61776555,1 rue Alsace-Lorraine,Toulouse,Toulouse,31000,France,Roulet,Annette,Medium
26,100,3854.24,14/11/2003,Shipped,4,11,2003,Classic Cars,S10_4757,"Double Decker Gift Stores, Ltd",+(1715557555,120 Hanover Sq.,London,London,WA1 1DP,UK,Hardy,Thomas,Medium
45,100,5324.4,26/11/2003,Shipped,4,11,2003,Classic Cars,S10_4757,Enaco Distributors,+(932034555,"Rambla de Catalu¤a, 23",Barcelona,Barcelona,8022,Spain,Saavedra,Eduardo,Medium
39,100,5197.92,09/01/2004,Shipped,1,1,2004,Classic Cars,S10_4757,"Men 'R' US Retailers, Ltd.",2155554369,6047 Douglas Av.,Los Angeles,CA,0,USA,Chandler,Michael,Medium
49,100,5997.6,19/02/2004,Shipped,1,2,2004,Classic Cars,S10_4757,Collectable Mini Designs Co.,7605558146,361 Furth Circle,San Diego,CA,91217,USA,Thompson,Valarie,Medium
20,100,2910.4,07/05/2004,Cancelled,2,5,2004,Classic Cars,S10_4757,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,Yu,Kwai,Small
27,100,3378.24,17/06/2004,Shipped,2,6,2004,Classic Cars,S10_4757,Quebec Home Shopping Network,+(5145558054,43 rue St. Laurent,Montreal,Quebec,H1J 1C3,Canada,Fresnisre,Jean,Medium
30,100,3508.8,21/07/2004,Shipped,3,7,2004,Classic Cars,S10_4757,Petit Auto,+(02555467,Rue Joseph-Bens 532,Bruxelles,Bruxelles,B-1180,Belgium,Dewey,Catherine,Medium
25,100,2992,20/08/2004,Shipped,3,8,2004,Classic Cars,S10_4757,"Royal Canadian Collectables, Ltd.",+(6045554555,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,Lincoln,Elizabeth,Small
24,100,3427.2,10/09/2004,Shipped,3,9,2004,Classic Cars,S10_4757,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Boston,MA,51003,USA,Yoshido,Juri,Medium
22,100,2692.8,14/10/2004,Shipped,4,10,2004,Classic Cars,S10_4757,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,PA,71270,USA,Cervantes,Francisca,Small
33,100,4128.96,01/11/2004,Shipped,4,11,2004,Classic Cars,S10_4757,giftsbymail.co.uk,+(1985558888,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,Bennett,Helen,Medium
47,64.93,3051.71,05/11/2004,Shipped,4,11,2004,Classic Cars,S10_4757,Baane Mini Imports,7989555,Erling Skakkes gate 78,Stavern,Stavern,4110,Norway,Bergulfsen,Jonas,Medium
25,48.05,1201.25,21/11/2004,Shipped,4,11,2004,Classic Cars,S10_4757,Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,NY,10022,USA,Hernandez,Maria,Small
26,75.47,1962.22,02/12/2004,Shipped,4,12,2004,Classic Cars,S10_4757,Euro Shopping Channel,+(915559444,"C/ Moralzarzal, 86",Madrid,Madrid,28034,Spain,Freyre,Diego,Small
48,54.68,2624.64,15/12/2004,Shipped,4,12,2004,Classic Cars,S10_4757,Reims Collectables,26471555,59 rue de l'Abbaye,Reims,Reims,51100,France,Henriot,Paul,Small
39,100,4046.25,31/01/2005,Shipped,1,1,2005,Classic Cars,S10_4757,"Oulu Toy Supplies, Inc.",981443655,Torikatu 38,Oulu,Oulu,90110,Finland,Koskitalo,Pirkko,Medium
34,100,4846.7,23/02/2005,Shipped,1,2,2005,Classic Cars,S10_4757,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,0,USA,Brown,Julie,Medium
32,100,3370.56,17/03/2005,Shipped,1,3,2005,Classic Cars,S10_4757,Lyon Souveniers,33146627555,27 rue du Colonel Pierre Avia,Paris,Paris,75508,France,Da Cunha,Daniel,Medium
64,100,9661.44,01/04/2005,Shipped,2,4,2005,Classic Cars,S10_4757,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,CA,94217,USA,Frick,Sue,Large
19,100,2764.88,06/05/2005,On Hold,2,5,2005,Classic Cars,S10_4757,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Boston,MA,51003,USA,Yoshido,Juri,Small
42,100,5398.26,29/01/2003,Shipped,1,1,2003,Classic Cars,S10_4962,Baane Mini Imports,7989555,Erling Skakkes gate 78,Stavern,Stavern,4110,Norway,Bergulfsen,Jonas,Medium
31,100,4305.28,01/04/2003,Shipped,2,4,2003,Classic Cars,S10_4962,"La Corne D'abondance, Co.",+(142342555,"265, boulevard Charonne",Paris,Paris,75012,France,Bertrand,Marie,Medium
22,100,3347.74,28/05/2003,Shipped,2,5,2003,Classic Cars,S10_4962,"Corrida Auto Replicas, Ltd",+(915552282,"C/ Araquil, 67",Madrid,Madrid,28023,Spain,Sommer,Mart¡n,Medium
